T (C)	Type 8016	Type 8018	Type 1008	Type 2901
-55	96.3		53.104	63.969
-50	67.01		39.318	46.179
-45	47.17		29.325	33.738
-40	33.65	30.24	22.03	24.927
-35	24.26	22.1	16.666	18.611
-30	17.7	16.32	12.696	14.033
-25	13.04	12.17	9.7251	10.679
-20	9.707	9.153	7.5171	8.198
-15	7.293	6.945	5.8353	6.3123
-10	5.533	5.313	4.5686	4.9014
-5	4.232	4.097	3.605	3.821
0	3.265	3.183	2.8665	3.0027
5	2.539	2.491	2.2907	2.3801
10	1.99	1.963	1.8438	1.9
15	1.571	1.557	1.492	1.5257
20	1.249	1.244	1.2154	1.233
25	1	1	1	1
30	0.8057	0.8083	0.82976	0.81679
35	0.6531	0.6572	0.68635	0.67166
40	0.5327	0.5373	0.57103	0.55527
45	0.4369	0.4418	0.48015	0.46095
50	0.3603	0.365	0.40545	0.38459
55	0.2986	0.303	0.3417	0.32184
60	0.2488	0.2527	0.28952	0.27068
65	0.2083	0.2118	0.24714	0.22907
70	0.1752	0.1783	0.21183	0.19468
75	0.1481	0.1508	0.18194	0.16607
80	0.1258	0.128	0.1568	0.14221
85	0.1072	0.1091	0.13592	0.12218
90	0.09177	0.0933	0.11822	0.10533
95	0.07885	0.08016	0.1034	0.09123
100	0.068	0.0691	0.090741	0.079284
105	0.05886	0.05974	0.079642	0.069062
110	0.05112	0.05183	0.070102	0.06034
115	0.04454	0.04512	0.061889	0.052886
120	0.03893	0.0394	0.054785	0.046482
125	0.03417	0.0345	0.048706	0.040985
130	0.03009	0.03032	0.043415	0.036233
135	0.02654	0.02672	0.038722	0.032101
140	0.02348	0.02361	0.034615	0.02851
145	0.02083	0.02091	0.031048	0.025373
150	0.01853	0.01857	0.02791	0.022633
155	0.01653	0.016537	0.025193	0.020231
